ImageNumber,ObjectNumber,FileName_DNA,FileName_OverlayObjects,PathName_DNA,PathName_OverlayObjects,Children_FillObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
11,1,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_6_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_6_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,251.69736331652243,270.853878774096,0,1
12,1,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_7_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_7_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,274.35889396130165,262.3181973258818,0,1
12,2,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_7_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_7_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,168.018778280543,293.202036199095,0,2
13,1,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_8_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_8_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,265.9177994357528,268.6961272121057,0,1
14,1,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_8_deconvolved_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_8_deconvolved_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,265.86744498398593,268.5929073251369,0,1
15,1,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,261.63450257863866,271.814869493327,0,1
15,2,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,409.0,454.0,0,2
16,1,Progeria_UT_2022-07-29_12.29.04_F00_C2_max_proj.tif,Progeria_UT_2022-07-29_12.29.04_F00_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,145.58152840212506,170.06354720065386,0,1
16,2,Progeria_UT_2022-07-29_12.29.04_F00_C2_max_proj.tif,Progeria_UT_2022-07-29_12.29.04_F00_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,389.9884519350812,330.8323970037453,0,2
17,1,Progeria_UT_2022-07-29_12.29.04_F01_C2_max_proj.tif,Progeria_UT_2022-07-29_12.29.04_F01_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,192.03985637342907,246.6793536804309,0,1
17,2,Progeria_UT_2022-07-29_12.29.04_F01_C2_max_proj.tif,Progeria_UT_2022-07-29_12.29.04_F01_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,253.6738416636264,262.8606348048158,0,2
18,1,Progeria_UT_2022-07-29_12.29.04_F02_C2_max_proj.tif,Progeria_UT_2022-07-29_12.29.04_F02_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,196.53776269702277,225.9135653823701,0,1
19,1,Progeria_UT_2022-07-29_12.29.04_F03_C2_max_proj.tif,Progeria_UT_2022-07-29_12.29.04_F03_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,215.87189793778398,258.6576371897938,0,1
20,1,Progeria_UT_2022-07-29_12.29.04_F04_C2_max_proj.tif,Progeria_UT_2022-07-29_12.29.04_F04_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,149.2203332199932,75.41312478748725,0,1
20,2,Progeria_UT_2022-07-29_12.29.04_F04_C2_max_proj.tif,Progeria_UT_2022-07-29_12.29.04_F04_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,110.4644857719023,120.44207931884382,0,2
20,3,Progeria_UT_2022-07-29_12.29.04_F04_C2_max_proj.tif,Progeria_UT_2022-07-29_12.29.04_F04_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,377.5363421674101,395.7987404880609,0,3
21,1,Progeria_UT_2022-07-29_12.29.04_F05_C2_max_proj.tif,Progeria_UT_2022-07-29_12.29.04_F05_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,71.70718050065877,194.83399209486166,0,1
21,2,Progeria_UT_2022-07-29_12.29.04_F05_C2_max_proj.tif,Progeria_UT_2022-07-29_12.29.04_F05_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,419.1676194831923,319.6947175851818,0,2
22,1,Progeria_UT_2022-07-29_12.29.04_F06_C2_max_proj.tif,Progeria_UT_2022-07-29_12.29.04_F06_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,114.99168297455968,98.32950097847358,0,1
22,2,Progeria_UT_2022-07-29_12.29.04_F06_C2_max_proj.tif,Progeria_UT_2022-07-29_12.29.04_F06_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,163.50518518518518,275.29214814814816,0,2
22,3,Progeria_UT_2022-07-29_12.29.04_F06_C2_max_proj.tif,Progeria_UT_2022-07-29_12.29.04_F06_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,275.7562814070352,397.8888190954774,0,3
23,1,Progeria_UT_2022-07-29_12.29.04_F07_C2_max_proj.tif,Progeria_UT_2022-07-29_12.29.04_F07_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,170.78244335287593,243.08778323562035,0,1
23,2,Progeria_UT_2022-07-29_12.29.04_F07_C2_max_proj.tif,Progeria_UT_2022-07-29_12.29.04_F07_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,340.910809371672,358.2838125665602,0,2
24,1,Progeria_UT_2022-07-29_12.29.04_F08_C2_max_proj.tif,Progeria_UT_2022-07-29_12.29.04_F08_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,222.5914489311164,179.49881235154393,0,1
24,2,Progeria_UT_2022-07-29_12.29.04_F08_C2_max_proj.tif,Progeria_UT_2022-07-29_12.29.04_F08_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,212.37786259541986,263.02348796241927,0,2
25,1,Progeria_UT_2022-07-29_12.29.04_F09_C2_max_proj.tif,Progeria_UT_2022-07-29_12.29.04_F09_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,250.31485198193678,296.1131460110386,0,1
26,1,Progeria_UT_2022-07-29_12.29.04_F10_C2_max_proj.tif,Progeria_UT_2022-07-29_12.29.04_F10_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,381.89015518913675,132.91367604267703,0,1
26,2,Progeria_UT_2022-07-29_12.29.04_F10_C2_max_proj.tif,Progeria_UT_2022-07-29_12.29.04_F10_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,95.06682520808562,417.51438763376933,0,2
27,1,Progeria_UT_2022-07-29_12.29.04_F11_C2_max_proj.tif,Progeria_UT_2022-07-29_12.29.04_F11_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,161.86838052363464,187.0672906053785,0,1
27,2,Progeria_UT_2022-07-29_12.29.04_F11_C2_max_proj.tif,Progeria_UT_2022-07-29_12.29.04_F11_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,365.726419311578,295.2973848904783,0,2
27,3,Progeria_UT_2022-07-29_12.29.04_F11_C2_max_proj.tif,Progeria_UT_2022-07-29_12.29.04_F11_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,72.74624731951394,313.05039313795567,0,3
27,4,Progeria_UT_2022-07-29_12.29.04_F11_C2_max_proj.tif,Progeria_UT_2022-07-29_12.29.04_F11_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,102.0,321.0,0,4
28,1,Progeria_UT_2022-07-29_12.29.04_F12_C2_max_proj.tif,Progeria_UT_2022-07-29_12.29.04_F12_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,75.34426229508196,192.91803278688525,0,1
29,1,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.tif,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,433.1095772217429,39.37187230371009,0,1
29,2,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.tif,UT_Progerin_LMN_K9me2_K9me3_2022-09-01_F00_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,188.53582001184134,72.91533451746595,0,2
