Channel_DNA,Count_FillObjects,Count_IdentifyPrimaryObjects,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05RescaleIntensity,ExecutionTime_06Resize,ExecutionTime_07IdentifyPrimaryObjects,ExecutionTime_08FillObjects,ExecutionTime_09MeasureObjectSizeShape,FileName_DNA,FileName_OverlayObjects,Frame_DNA,Group_Index,Group_Length,Group_Number,Height_DNA,ImageNumber,ImageSet_ImageSet,MD5Digest_DNA,Metadata_FileLocation,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05RescaleIntensity,ModuleError_06Resize,ModuleError_07IdentifyPrimaryObjects,ModuleError_08FillObjects,ModuleError_09MeasureObjectSizeShape,PathName_DNA,PathName_OverlayObjects,Scaling_DNA,Series_DNA,Threshold_FinalThreshold_IdentifyPrimaryObjects,Threshold_OrigThreshold_IdentifyPrimaryObjects,Threshold_SumOfEntropies_IdentifyPrimaryObjects,Threshold_WeightedVariance_IdentifyPrimaryObjects,URL_DNA,URL_OverlayObjects,Width_DNA
-1,4.0,4.0,0.0,0.0,0.21875,0.0,0.421875,0.1875,0.25,0.046875,0.59375,NP_LMNA_K9me2_Pol2_Well2_40X_F10_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F10_C2_max_proj.png,0,11,95,1,2048,11,b'eLtbPbCZG01BdC1LjSCFqaFBvLNRfG5iRXxBUX6WXklmGrgIhfkEGEAgF2IWtiAGvMCFBBGQAQ5dIA0MczsAQcSTTQ==',c298fb87d2bce0dbbbb9fa8b7c8f75d9,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F10_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230724_normal_c2,65535,0,0.11683999001979828,0.11683999,-11.816879718260559,0.06831339631558819,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F10_C2_max_proj.tif,file:///C:/Users/amulya/documents/progeria-prediction/230724_normal_c2/NP_LMNA_K9me2_Pol2_Well2_40X_F10_C2_max_proj.png,2048
-1,3.0,3.0,0.0,0.0,0.1875,0.0,0.453125,0.21875,0.296875,0.046875,0.546875,NP_LMNA_K9me2_Pol2_Well2_40X_F11_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F11_C2_max_proj.png,0,12,95,1,2048,12,b'eLtbPbCZG01BdC1LjSCFqaFhvLNRfG5iRXxBUX6WXklmGrgIhfkEGEAgF2IWtiAGvMCFBBGQAQ5dIA0MczsAQh2TTg==',59f847ce259b2b5750bbb8e652f200ca,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F11_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230724_normal_c2,65535,0,0.029144203290343285,0.029144203,-12.061395020343454,0.061661370234332935,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F11_C2_max_proj.tif,file:///C:/Users/amulya/documents/progeria-prediction/230724_normal_c2/NP_LMNA_K9me2_Pol2_Well2_40X_F11_C2_max_proj.png,2048
-1,3.0,3.0,0.0,0.0,0.171875,0.0,0.421875,0.203125,0.296875,0.0625,0.625,NP_LMNA_K9me2_Pol2_Well2_40X_F12_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F12_C2_max_proj.png,0,13,95,1,2048,13,b'eLtbPbCZG01BdC1LjSCFqaFRvLNRfG5iRXxBUX6WXklmGrgIhfkEGEAgF2IWtiAGvMCFBBGQAQ5dIA0MczsAQnaTTw==',e4a96a002656c3fb49294bd5cd75c5f9,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F12_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230724_normal_c2,65535,0,0.004189249128103256,0.004189249,-13.042585530918196,0.06612731545406803,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F12_C2_max_proj.tif,file:///C:/Users/amulya/documents/progeria-prediction/230724_normal_c2/NP_LMNA_K9me2_Pol2_Well2_40X_F12_C2_max_proj.png,2048
-1,3.0,3.0,0.0,0.0,0.15625,0.0,0.453125,0.1875,0.296875,0.0625,0.640625,NP_LMNA_K9me2_Pol2_Well2_40X_F13_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F13_C2_max_proj.png,0,14,95,1,2048,14,b'eLtbPbCZG01BdC1LjSCFqaFxvLNRfG5iRXxBUX6WXklmGrgIhfkEGEAgF2IWtiAGvMCFBBGQAQ5dIA0MczsAQs+TUA==',37cbccdc32090b3a1e733129ba657401,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F13_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230724_normal_c2,65535,0,0.08379098773002625,0.08379099,-11.613582668996182,0.05645403284673023,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F13_C2_max_proj.tif,file:///C:/Users/amulya/documents/progeria-prediction/230724_normal_c2/NP_LMNA_K9me2_Pol2_Well2_40X_F13_C2_max_proj.png,2048
-1,3.0,3.0,0.0,0.0,0.234375,0.0,0.421875,0.25,0.296875,0.046875,0.625,NP_LMNA_K9me2_Pol2_Well2_40X_F14_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F14_C2_max_proj.png,0,15,95,1,2048,15,b'eLtbPbCZG01BdC1LjSCFqaFJvLNRfG5iRXxBUX6WXklmGrgIhfkEGEAgF2IWtiAGvMCFBBGQAQ5dIA0MczsAQyiTUQ==',f20cf78186e125b04e1ab45ee93aef6b,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F14_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230724_normal_c2,65535,0,0.09057015180587769,0.09057015,-11.943979221904835,0.08312020542314258,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F14_C2_max_proj.tif,file:///C:/Users/amulya/documents/progeria-prediction/230724_normal_c2/NP_LMNA_K9me2_Pol2_Well2_40X_F14_C2_max_proj.png,2048
-1,3.0,3.0,0.0,0.0,0.21875,0.0,0.46875,0.203125,0.265625,0.046875,0.5625,NP_LMNA_K9me2_Pol2_Well6_40X_F00_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well6_40X_F00_C2_max_proj.png,0,16,95,1,2048,16,b'eLtbPbCZG01BdC1LzaCFqUG8s1F8bmJFfEFRfpZeSWYauAiF+QQYQCAXYha2IAa8wIUEEZABDl0gDQxzOwBC7pNQ',a146108d45fba7a3f1b346bd24350202,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well6_40X_F00_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230724_normal_c2,65535,0,0.02732105553150177,0.027321056,-12.397253133434141,0.03451865990359693,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well6_40X_F00_C2_max_proj.tif,file:///C:/Users/amulya/documents/progeria-prediction/230724_normal_c2/NP_LMNA_K9me2_Pol2_Well6_40X_F00_C2_max_proj.png,2048
-1,1.0,1.0,0.0,0.0,0.1875,0.0,0.421875,0.21875,0.25,0.03125,0.609375,NP_LMNA_K9me2_Pol2_Well6_40X_F01_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well6_40X_F01_C2_max_proj.png,0,17,95,1,2048,17,b'eLtbPbCZG01BdC1LzaCFqWG8s1F8bmJFfEFRfpZeSWYauAiF+QQYQCAXYha2IAa8wIUEEZABDl0gDQxzOwBDR5NR',ca1eee2a586298b19d763e2bfd33f200,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well6_40X_F01_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230724_normal_c2,65535,0,0.03198660910129547,0.03198661,-12.455604862119163,0.030524043179482874,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well6_40X_F01_C2_max_proj.tif,file:///C:/Users/amulya/documents/progeria-prediction/230724_normal_c2/NP_LMNA_K9me2_Pol2_Well6_40X_F01_C2_max_proj.png,2048
-1,2.0,2.0,0.0,0.0,0.171875,0.0,0.484375,0.1875,0.265625,0.046875,0.59375,NP_LMNA_K9me2_Pol2_Well6_40X_F02_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well6_40X_F02_C2_max_proj.png,0,18,95,1,2048,18,b'eLtbPbCZG01BdC1LzaCFqVG8s1F8bmJFfEFRfpZeSWYauAiF+QQYQCAXYha2IAa8wIUEEZABDl0gDQxzOwBDoJNS',59ff6061069644eec0fbf4f4c8bf60d1,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well6_40X_F02_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230724_normal_c2,65535,0,0.07514166831970215,0.07514167,-12.30007064645308,0.06824565861091969,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well6_40X_F02_C2_max_proj.tif,file:///C:/Users/amulya/documents/progeria-prediction/230724_normal_c2/NP_LMNA_K9me2_Pol2_Well6_40X_F02_C2_max_proj.png,2048
-1,3.0,3.0,0.0,0.0,0.203125,0.0,0.453125,0.1875,0.296875,0.0625,0.609375,NP_LMNA_K9me2_Pol2_Well6_40X_F03_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well6_40X_F03_C2_max_proj.png,0,19,95,1,2048,19,b'eLtbPbCZG01BdC1LzaCFqXG8s1F8bmJFfEFRfpZeSWYauAiF+QQYQCAXYha2IAa8wIUEEZABDl0gDQxzOwBD+ZNT',9eb91421ec67e05b3ec7d25e80d2b18f,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well6_40X_F03_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230724_normal_c2,65535,0,0.10252776741981506,0.10252777,-12.135955792148302,0.0693503359033798,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well6_40X_F03_C2_max_proj.tif,file:///C:/Users/amulya/documents/progeria-prediction/230724_normal_c2/NP_LMNA_K9me2_Pol2_Well6_40X_F03_C2_max_proj.png,2048
-1,2.0,2.0,0.0,0.0,0.1875,0.0,0.40625,0.234375,0.296875,0.046875,0.609375,NP_LMNA_K9me2_Pol2_Well6_40X_F04_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well6_40X_F04_C2_max_proj.png,0,20,95,1,2048,20,b'eLtbPbCZG01BdC1LzaCFqUm8s1F8bmJFfEFRfpZeSWYauAiF+QQYQCAXYha2IAa8wIUEEZABDl0gDQxzOwBEUpNU',d922f235881ec8bc8d1af2c67141c705,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well6_40X_F04_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230724_normal_c2,65535,0,0.028249751776456833,0.028249752,-12.254856262043017,0.04757527477571699,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well6_40X_F04_C2_max_proj.tif,file:///C:/Users/amulya/documents/progeria-prediction/230724_normal_c2/NP_LMNA_K9me2_Pol2_Well6_40X_F04_C2_max_proj.png,2048
