ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,10,100,361,88,351,78,355.5,82.5,10.0,0.0,82.5,0.0,0.0,-82.5,0.0,-1208.625,82.5,0.0,1208.625,0.0,1.0185916357881304,10,1.0,3.5682482323055424,1,0.1,0.9817477042468101,1.65,2.7224999999999997,0.0,0.0,0.0,0.0,0.0,16.5,0.0,8.25,8.25,8.25,8.25,16.24807680927192,12.727922061357855,1.0,1.0,1.0,0.0,0.0,nan,nan,0.825,0.0,nan,-0.825,0.0,-1.208625,0.825,0.0,1.208625,0.0,0.0,-1.208625,0.0,-2.079515625,45.0,11.313708498984761,1.0,10.0,45.0,285.0,2025.0,45.0,120.0,540.0,2892.0,285.0,540.0,1968.0,8856.0,0.06287602690050187,0.0,0.030273642581723114,0.016301192159389372,1.54251836981994e-19,0.0,0.00974621541804761,0.019118682162246794,0.00744622357898033,6.17007347927976e-19,6.17007347927976e-19,0.0,0.011376796052102409,0.008336405605582298,0.013449628203360587,0.003963581615256844,1.54251836981994e-19,3.08503673963988e-19,6.17007347927976e-19,1.54251836981994e-19,0.00961934953684682,0.006407800575553886,0.008226313784661847,0.009744103323728093,0.0022501209978837266,0.0,3.08503673963988e-19,7.7125918490997e-20,0.0,0.0,355.5,82.5,0,1
1,2,19863,26752,382,280,254,71,319.1785228817399,176.3677692191512,19863.0,-1.7314505385002121e-10,19761938.95786135,-42822251.88708437,-1.6475496522616595e-09,-8884009.109651139,-18965086.857542846,-18362889444.660908,54565108.44585412,145656925.17278332,43106738977.911606,209704830209.1749,1.314966191914261,20213,0.8301547386526438,159.029422048483,-52,0.742486543062201,0.7604758252714092,0.1883897179283678,0.009809551814428925,7.451734346360805e-05,6.036362707119382e-06,6.753305064498081e-11,1.9849364713902428e-07,1.0876328810357216e-10,2854.6398413139386,887.3451258972307,994.9120957489474,447.26421535775756,447.26421535775756,2747.072871462222,213.7153187327081,213.92522057952868,54.230987451824994,18.973799677503727,17.0,118.34531641774912,119.153355027694,nan,nan,0.050088712467852174,-0.0007701182144583693,nan,-0.02251745533694596,-0.000341069378282367,-0.0023431845316232375,0.13830100546051563,0.0026195037905372915,0.005500607313797841,0.00018986787278899028,-0.001276377900027073,-0.006149674999983371,-0.00022642840411532815,-0.0005021537595334423,-13.52280889300649,572.9076836320746,0.9826844110226092,19863.0,1294641.0,104144727.0,9321285201.0,2092920.0,127529425.0,9796439291.0,846867584947.0,275091420.0,16203532895.0,1202104763633.0,100580482476377.0,0.5526255807419487,0.035944849446625474,0.1864573190500247,0.09353017624075106,0.023021795790762748,0.008711282335824452,0.0024984803449618616,0.03835729095443978,0.029630237561680827,0.00405560147711521,0.006253567851235702,0.004414630116935068,0.013192434144926787,0.016665695753584318,0.0020094520390210435,0.012612599404563355,0.012196641515911308,0.01159559217358519,0.005029149968501679,0.002860049810222424,0.007308353181463255,0.008615608075848309,0.016738485094838804,0.003818630581758092,0.006320509131587347,0.006179569772052332,0.006391188244040231,0.00635498976359624,0.00296373433036393,0.0018755479499635978,319.1785228817399,176.3677692191512,0,2
1,3,25,625,286,185,261,160,273.0,172.0,25.0,0.0,1300.0,0.0,0.0,1300.0,0.0,121420.0,1300.0,0.0,121420.0,0.0,3.3677185958245053,25,1.0,5.641895835477563,1,0.04,0.2969369237797536,4.16,17.305600000000002,0.0,0.0,0.0,0.0,0.0,104.0,0.0,52.0,-52.0,-52.0,52.0,40.792156108742276,33.94112549695428,1.0,1.0,1.0,0.0,0.0,nan,nan,2.08,0.0,nan,2.08,0.0,7.77088,2.08,0.0,7.77088,0.0,0.0,7.77088,0.0,34.488064,-45.0,32.526911934581186,1.0,25.0,300.0,4900.0,90000.0,300.0,4900.0,90000.0,1763020.0,4900.0,90000.0,1763020.0,35970000.0,0.025420581188288847,1.735333166047433e-19,0.009885781573223439,0.007767399807532705,0.0,1.735333166047433e-19,0.004383873376221111,0.006257072067179117,0.004261281838854748,1.6268748431694682e-19,1.9522498118033618e-19,1.735333166047433e-19,0.004529212454409891,0.003019531724947972,0.0046501013315350575,0.0027760513104564477,1.735333166047433e-19,1.735333166047433e-19,1.9522498118033618e-19,0.0,0.002440426234439451,0.003482748010945136,0.002324936209162428,0.0037181124116202756,0.0019642808451968575,8.676665830237165e-20,0.0,8.676665830237165e-20,2.169166457559291e-19,8.676665830237165e-20,273.0,172.0,0,3
1,4,10,100,279,258,269,248,273.5,252.5,10.0,0.0,82.5,0.0,0.0,-82.5,0.0,-1208.625,82.5,0.0,1208.625,0.0,1.0185916357881304,10,1.0,3.5682482323055424,1,0.1,0.9817477042468101,1.65,2.7224999999999997,0.0,0.0,0.0,0.0,0.0,16.5,0.0,8.25,8.25,8.25,8.25,16.24807680927192,12.727922061357855,1.0,1.0,1.0,0.0,0.0,nan,nan,0.825,0.0,nan,-0.825,0.0,-1.208625,0.825,0.0,1.208625,0.0,0.0,-1.208625,0.0,-2.079515625,45.0,11.313708498984761,1.0,10.0,45.0,285.0,2025.0,45.0,120.0,540.0,2892.0,285.0,540.0,1968.0,8856.0,0.06287602690050187,0.0,0.030273642581723114,0.016301192159389372,1.54251836981994e-19,0.0,0.00974621541804761,0.019118682162246794,0.00744622357898033,6.17007347927976e-19,6.17007347927976e-19,0.0,0.011376796052102409,0.008336405605582298,0.013449628203360587,0.003963581615256844,1.54251836981994e-19,3.08503673963988e-19,6.17007347927976e-19,1.54251836981994e-19,0.00961934953684682,0.006407800575553886,0.008226313784661847,0.009744103323728093,0.0022501209978837266,0.0,3.08503673963988e-19,7.7125918490997e-20,0.0,0.0,273.5,252.5,0,4
1,5,12,144,348,260,336,248,341.5,253.5,12.0,0.0,143.0,0.0,0.0,143.0,0.0,3038.75,143.0,0.0,3038.75,0.0,1.3262911924324614,12,1.0,3.9088200952233594,1,0.08333333333333333,0.7539822368615502,1.9861111111111112,3.9446373456790127,0.0,0.0,0.0,0.0,0.0,23.833333333333332,0.0,11.916666666666666,-11.916666666666666,-11.916666666666666,11.916666666666666,19.527758021169078,15.556349186104045,1.0,1.0,1.0,0.0,0.0,nan,nan,0.9930555555555556,0.0,nan,0.9930555555555556,0.0,1.7585358796296295,0.9930555555555556,0.0,1.7585358796296295,0.0,0.0,1.7585358796296295,0.0,3.6726677035108026,-45.0,14.142135623730951,1.0,12.0,66.0,506.0,4356.0,66.0,506.0,4356.0,39974.0,506.0,4356.0,39974.0,381876.0,0.052613204327899295,0.0,0.023915092876317854,0.014349055725790717,7.67992487949091e-19,0.0,0.00821414264413033,0.015250318730055256,0.0069492121118292245,4.130379767121162e-19,4.130379767121162e-19,4.130379767121162e-19,0.009849274436556353,0.006398810520708124,0.0110305731981268,0.003952581226836554,4.130379767121162e-19,0.0,0.0,2.065189883560581e-19,0.006791892802610823,0.006285191619581333,0.005866604023508374,0.008343258909797232,0.0024156012097573303,0.0,2.065189883560581e-19,2.065189883560581e-19,0.0,1.0325949417802905e-19,341.5,253.5,0,5
1,6,10,100,150,345,140,335,144.5,339.5,10.0,0.0,82.5,0.0,0.0,-82.5,0.0,-1208.625,82.5,0.0,1208.625,0.0,1.0185916357881304,10,1.0,3.5682482323055424,1,0.1,0.9817477042468101,1.65,2.7224999999999997,0.0,0.0,0.0,0.0,0.0,16.5,0.0,8.25,8.25,8.25,8.25,16.24807680927192,12.727922061357855,1.0,1.0,1.0,0.0,0.0,nan,nan,0.825,0.0,nan,-0.825,0.0,-1.208625,0.825,0.0,1.208625,0.0,0.0,-1.208625,0.0,-2.079515625,45.0,11.313708498984761,1.0,10.0,45.0,285.0,2025.0,45.0,120.0,540.0,2892.0,285.0,540.0,1968.0,8856.0,0.06287602690050187,0.0,0.030273642581723114,0.016301192159389372,1.54251836981994e-19,0.0,0.00974621541804761,0.019118682162246794,0.00744622357898033,6.17007347927976e-19,6.17007347927976e-19,0.0,0.011376796052102409,0.008336405605582298,0.013449628203360587,0.003963581615256844,1.54251836981994e-19,3.08503673963988e-19,6.17007347927976e-19,1.54251836981994e-19,0.00961934953684682,0.006407800575553886,0.008226313784661847,0.009744103323728093,0.0022501209978837266,0.0,3.08503673963988e-19,7.7125918490997e-20,0.0,0.0,144.5,339.5,0,6
1,7,3,9,73,366,70,363,71.0,364.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.05305164769729846,3,1.0,1.9544100476116797,1,0.3333333333333333,18.849555921538755,0.4444444444444444,0.19753086419753085,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.6666666666666666,-0.6666666666666666,-0.6666666666666666,0.6666666666666666,4.618802153517006,2.8284271247461903,1.0,1.0,1.0,0.0,0.0,nan,nan,0.2222222222222222,0.0,nan,0.2222222222222222,0.0,0.07407407407407407,0.2222222222222222,0.0,0.07407407407407407,0.0,0.0,0.07407407407407407,0.0,0.024691358024691357,-45.0,1.4142135623730951,1.0,3.0,3.0,5.0,9.0,3.0,5.0,9.0,17.0,5.0,9.0,17.0,33.0,0.4774648292756859,0.0,0.15915494309189515,0.3183098861837905,0.0,0.0,0.47746482927568534,0.31830988618379025,0.31830988618379047,0.0,0.0,0.0,0.1591549430918946,0.3183098861837897,0.3183098861837899,0.31830988618379036,0.0,0.0,0.0,0.0,0.4774648292756848,0.31830988618378997,0.3183098861837893,0.3183098861837898,0.3183098861837903,0.0,0.0,0.0,0.0,0.0,71.0,364.0,0,7
1,8,12,144,180,390,168,378,173.5,383.5,12.0,0.0,143.0,0.0,0.0,-143.0,0.0,-3038.75,143.0,0.0,3038.75,0.0,1.3262911924324614,12,1.0,3.9088200952233594,1,0.08333333333333333,0.7539822368615502,1.9861111111111112,3.9446373456790127,0.0,0.0,0.0,0.0,0.0,23.833333333333332,0.0,11.916666666666666,11.916666666666666,11.916666666666666,11.916666666666666,19.527758021169078,15.556349186104045,1.0,1.0,1.0,0.0,0.0,nan,nan,0.9930555555555556,0.0,nan,-0.9930555555555556,0.0,-1.7585358796296295,0.9930555555555556,0.0,1.7585358796296295,0.0,0.0,-1.7585358796296295,0.0,-3.6726677035108026,45.0,14.142135623730951,1.0,12.0,66.0,506.0,4356.0,66.0,220.0,1210.0,7942.0,506.0,1210.0,5368.0,29524.0,0.052613204327899295,0.0,0.023915092876317854,0.014349055725790717,7.67992487949091e-19,0.0,0.00821414264413033,0.015250318730055256,0.0069492121118292245,4.130379767121162e-19,4.130379767121162e-19,4.130379767121162e-19,0.009849274436556353,0.006398810520708124,0.0110305731981268,0.003952581226836554,4.130379767121162e-19,0.0,0.0,2.065189883560581e-19,0.006791892802610823,0.006285191619581333,0.005866604023508374,0.008343258909797232,0.0024156012097573303,0.0,2.065189883560581e-19,2.065189883560581e-19,0.0,1.0325949417802905e-19,173.5,383.5,0,8
1,9,9,81,89,404,80,395,84.0,399.0,9.0,0.0,60.0,0.0,0.0,-60.0,0.0,-708.0,60.0,0.0,708.0,0.0,0.8665102457225413,9,1.0,3.385137501286538,1,0.1111111111111111,1.1540544441758425,1.4814814814814814,2.194787379972565,0.0,0.0,0.0,0.0,0.0,13.333333333333334,0.0,6.666666666666667,6.666666666666667,6.666666666666667,6.666666666666667,14.60593486680443,11.313708498984761,1.0,1.0,1.0,0.0,0.0,nan,nan,0.7407407407407407,0.0,nan,-0.7407407407407407,0.0,-0.9711934156378601,0.7407407407407407,0.0,0.9711934156378601,0.0,0.0,-0.9711934156378601,0.0,-1.4906264288980338,45.0,9.899494936611665,1.0,9.0,36.0,204.0,1296.0,36.0,84.0,336.0,1596.0,204.0,336.0,1092.0,4368.0,0.0895246554891911,4.685399548328066e-18,0.014920775914865198,0.03730193978716295,0.0,1.5617998494426888e-18,0.030774100324409408,0.0018650969893581723,0.027510180593032674,0.0,0.0,0.0,0.0078100936429372205,0.029870693970189037,0.004954163877982537,0.023750844473857648,0.0,3.1235996988853777e-18,0.0,0.0,0.03176857586756327,0.01374051922628695,0.030111116628973467,0.00945662457885494,0.021964066986982313,1.5617998494426888e-18,1.5617998494426888e-18,1.5617998494426888e-18,0.0,0.0,84.0,399.0,0,9
1,10,13030,19370,199,459,69,310,130.95471987720646,387.27766692248656,13030.0,5.310596407070989e-11,13594787.28472755,38748058.12248509,-6.574509825441055e-10,5933178.823484284,24050824.96620912,11810725327.317436,16320787.401074443,-25950789.26298793,15061582266.734861,17030048446.196424,1.3695972804851024,13483,0.7606112189142571,128.80338220675407,-44,0.6726897263810016,0.7301416367049199,0.17620106081309495,0.005142711928983437,7.958580220691514e-05,3.0702027114238333e-06,-1.5485824261073177e-11,-1.1451531197860049e-07,4.542484220114004e-11,1615.1581783928823,680.7416440017446,1043.345148482544,-455.34756895504864,-455.34756895504864,1252.554673912083,160.75612229176878,162.01234520862909,41.593268686170845,15.028102377742483,13.416407864998739,107.054660940963,104.36410448055362,nan,nan,0.08007253633787752,0.001999350350863397,nan,0.03494609124750949,0.0012409918758442386,0.00533879595130302,0.09612852447521743,-0.0013390276089223897,0.006808279102035903,6.743889232244742e-05,-0.002864006536252253,0.007107937754931879,-6.356218581302791e-05,0.0008633822169243051,38.531098009816105,473.5584412271571,0.9664021360231403,13030.0,807270.0,63608974.0,5664146700.0,1006928.0,68317121.0,5674780795.0,522314468783.0,94133834.0,6723088961.0,571696702439.0,53299917147503.0,0.6320600147782373,0.0268433911541042,0.18749209178668863,0.0895752285213477,0.01567056255298261,0.00583528297077701,0.018478092035183316,0.015297079722441449,0.029938993928823383,0.009268518977463468,0.007794814947249397,0.00523558638554735,0.02317387050075489,0.025703399990415845,0.00685407295361328,0.012436959605595214,0.011540460400412678,0.0015522467841024568,0.005761497122916081,0.0027075610410160784,0.0005593631990345968,0.0027608581401463803,0.01036690045786766,0.007898948904746222,0.006342342907766949,0.0051964402825334256,0.0035504829439334555,0.00169214754366336,0.0030657995280206473,0.0018084711613778187,130.95471987720646,387.27766692248656,0,10
