ImageNumber,ObjectNumber,FileName_DNA,PathName_DNA,Children_FillObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,AG00989F_F00_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,444.2328519855596,8.438628158844764,0,1
1,2,AG00989F_F00_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,16.144927536231883,20.44927536231884,0,2
1,3,AG00989F_F00_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,231.8756708407871,110.95706618962433,0,3
1,4,AG00989F_F00_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,191.24761904761905,83.73605442176871,0,4
1,5,AG00989F_F00_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,175.15697674418604,265.27536997885835,0,5
1,6,AG00989F_F00_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,386.1322561340515,347.6008378216637,0,6
1,7,AG00989F_F00_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,504.7219796215429,376.4541484716157,0,7
2,1,AG00989F_F01_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,86.25455820476859,104.24754558204769,0,1
2,2,AG00989F_F01_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,429.03176542455714,106.73549175320709,0,2
3,1,AG00989F_F02_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,251.32954545454547,2.3863636363636362,0,1
3,2,AG00989F_F02_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,30.083516483516483,28.92032967032967,0,2
3,3,AG00989F_F02_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,152.9318181818182,16.975142045454547,0,3
3,4,AG00989F_F02_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,478.1825467497774,197.89314336598397,0,4
3,5,AG00989F_F02_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,295.1842424242424,259.75575757575757,0,5
3,6,AG00989F_F02_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,384.00543724512914,260.4277299501586,0,6
3,7,AG00989F_F02_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,137.3857509627728,233.22528883183568,0,7
3,8,AG00989F_F02_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,197.74464438731792,281.76820908311913,0,8
3,9,AG00989F_F02_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,378.7282110091743,399.3142201834862,0,9
3,10,AG00989F_F02_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,197.84212481426448,384.278603268945,0,10
3,11,AG00989F_F02_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,417.401268115942,439.356884057971,0,11
3,12,AG00989F_F02_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,494.21635883905014,467.22163588390504,0,12
4,1,AG00989F_F03_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,339.94520547945206,2.219178082191781,0,1
4,2,AG00989F_F03_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,381.67058823529413,341.91557093425604,0,2
5,1,AG00989F_F04_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,59.95,1.75,0,1
5,2,AG00989F_F04_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,7.102362204724409,15.564304461942257,0,2
5,3,AG00989F_F04_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,89.95538160469667,107.58082191780822,0,3
5,4,AG00989F_F04_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,345.4641873278237,223.16184573002755,0,4
5,5,AG00989F_F04_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,205.75602409638554,266.13780120481925,0,5
5,6,AG00989F_F04_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,433.55034965034963,274.0258741258741,0,6
5,7,AG00989F_F04_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,341.2197516025641,429.2528044871795,0,7
6,1,AG00989F_F05_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,494.5619295958279,10.973924380704041,0,1
6,2,AG00989F_F05_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,89.27801621363854,61.652360515021456,0,2
6,3,AG00989F_F05_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,444.72204213938414,87.39789303079417,0,3
