,ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
0,80,1,1452,2208,397,155,349,109,375.2699724517906,130.66873278236915,1.2625907635870857,1517,0.7479163799671132,42.99702104745696,1,0.657608695652174,0.7920222678953776,53.28149879289544,53.823786563191554,17.0,6.676139957775908,6.0,34.75771870967642,35.367883589532326,47.28977703523456,151.78174593052023,0.9571522742254448,0.6381140334494418,0.1330255527913194,0.1322573321127655,0.0615248240510065,0.0364444039506475,0.0234382931165755,0.0132740798983459,0.0224841469807687,0.0195817023100126,0.0287144462777308,0.0099514625351513,0.0104869956241995,0.0189089566128764,0.0092785730102543,0.0112451037869199,0.0119876882832151,0.0038844173531987,0.012669779333645,0.0064669827472114,0.0026085259564315,0.0034768698011028,0.0044229907316157,0.0047481235557176,0.00580686229033,0.0084791772782631,0.0035907148010773,0.0064420756877812,0.0076026495623678,0.0041282163389939,0.0034441196050878,375.2699724517906,130.66873278236915,0,1
1,80,2,2090,2862,446,329,393,275,418.2196172248804,301.0693779904306,1.148549392457654,2158,0.6676624113432647,51.585566280661205,1,0.7302585604472397,0.8706634704322209,60.07604964027183,58.412327466040935,20.591260281974,8.227563562913199,7.280109889280518,43.94060676728216,44.724466596361,-44.245706194807546,173.6812408671319,0.968489341983318,0.7780637651929478,0.053783245918704,0.1325688488567147,0.0886218539044386,0.0077171109739894,0.0117265741521254,0.0418603851310241,0.0125476491871013,0.0076636059862231,0.0170899828853795,0.021893143168829,0.0044029917771949,0.0034691176594275,0.0118132547705263,0.0210839988188529,0.0042337766811335,0.0013159354922351,0.0048312873905084,0.0054764223458014,0.0024602226240401,0.0032737173440714,0.0066032755471695,0.0045074157305135,0.0039328605359615,0.0018965300898736,0.0061953796121281,0.0099469246184759,0.010794623761103,0.0044583071509896,0.0010259905855052,418.2196172248804,301.0693779904306,0,2
2,80,3,2086,2808,80,349,28,295,51.9856184084372,321.54602109300095,1.1244017661121786,2130,0.573076380674327,51.53617846054895,1,0.7428774928774928,0.8893618190032553,57.179209084522434,57.68882040742383,22.80350850198276,8.483013841929624,7.615773105863909,45.7627661885814,46.85847389750416,42.43947213410016,171.6812408671319,0.9793427230046948,0.7970894260649726,0.0441114155299507,0.1387632667768717,0.0633407249656398,0.01618559520514,0.0271771965932579,0.0551679589904224,0.0141661120563256,0.0216784882394775,0.0059349492217954,0.0062107757301532,0.0077330058324961,0.0009300600794514,0.0151274899983861,0.0059741259302932,0.011874962862608,0.0107113852748174,0.0065523403466518,0.0042188403962418,0.0040819482336575,0.0099897492580531,0.0145751266259368,0.0047119787694703,0.0119798562649869,0.0021626966562249,0.003922406145257,0.0039236493572276,0.0019621638190163,0.0050457527847353,0.0012536105425208,51.9856184084372,321.54602109300095,0,3
3,81,1,1053,1365,47,54,8,19,27.15099715099715,36.08641975308642,1.1507228941347392,1098,0.4694765235159949,36.61586050615398,1,0.7714285714285715,0.8690189489554981,39.19061062574373,39.96248240537617,16.0,6.025527369787779,5.385164807134504,34.0,34.60315194219162,70.17462146758383,123.39696961967,0.9590163934426228,0.8395248845373364,0.0254424903178244,0.1195549940945284,0.0442134042765805,0.0032793069441715,0.0196014283183322,0.0640466598191494,0.0234108399628751,0.0335986664099598,0.0098166060281755,0.005933775138008,0.0048207225379314,0.0210088584319012,0.0098081757331788,0.0060294260815467,0.0048531082304192,0.0075524313869004,0.0095334341527409,0.0080971291417004,0.0022910793224621,0.0015561757743666,0.002392071738755,0.0030124290170024,0.0124786886602573,0.0013219232354962,0.0010067379957124,0.0024117224351484,0.0013500173930847,0.0044541098470083,0.0021439793997629,27.15099715099715,36.08641975308642,0,1
4,81,2,1831,2288,253,262,201,218,226.58711086837795,239.14909885308572,1.0786450150694984,1863,0.5043504294320523,48.2835542023377,1,0.8002622377622378,0.927089066402044,51.99123663044468,51.62363799656123,22.0,8.206493513780131,7.211102550927978,43.0,44.89438449181038,-82.12568200506907,157.53910524340094,0.9828234031132582,0.8747848429306128,0.0058523125378932,0.1002684712985159,0.0563969293554833,0.0016873644193114,0.0133666661553912,0.0614548005434101,0.0287484957027333,0.0014364634892492,0.0056221190988101,0.0060630880446096,0.008243170808409,0.0243380253074157,0.0043670351475755,0.0108874553930386,0.0038449100700673,0.0062037649173389,0.0016959851693889,0.005650980550048,0.0005722804242576,0.000369192079277,0.0082730430375229,0.0124509483017308,0.001855872627197,0.0033544848882237,0.0029283880872216,0.0004958634392439,0.0024890796108756,0.0029333080300318,0.0018530100610456,226.58711086837795,239.14909885308572,0,2
5,82,1,1435,1880,374,187,334,140,354.3484320557492,163.42229965156795,1.1071356248839028,1465,0.6717277951704885,42.744575640599805,1,0.7632978723404256,0.9032317066889276,49.72046666695336,48.87739763939975,18.35755975068582,7.094690739663013,6.324555320336759,36.09410776545966,36.8328253664826,-28.262159550081428,141.29646455628165,0.9795221843003412,0.7634735030092821,0.0224009081445646,0.1519317093929479,0.0881060854582906,0.0074325274912189,0.0083638534958917,0.0496523298758753,0.013813859651783,0.0163209105035209,0.0095385019430636,0.0086994834938737,0.0033035617582727,0.0065463785002427,0.0197211194090889,0.0183284876980527,0.0025075275236531,0.0017506327267227,0.0068729789603846,0.0012372095524067,0.0013891526144728,0.0107177424990162,0.012766474154621,0.0025871945970538,0.0080254653473035,0.0015601955406337,0.0065591110990357,0.004233794032256,0.0047690513370999,0.0036409082587183,0.0007946845076213,354.3484320557492,163.42229965156795,0,1
6,82,2,1568,2064,154,252,106,209,128.5408163265306,230.19196428571428,1.095980620697198,1604,0.4570191293553442,44.68153540496046,1,0.7596899224806202,0.9124248924801784,47.43594638189413,48.05205510693585,21.02379604162864,7.582667545171072,6.708203932499369,42.0,42.19222817601775,-78.01777872924654,146.95331880577405,0.9775561097256856,0.864633870136308,0.073655778691852,0.0974767871245275,0.038814781592671,0.0348369240524176,0.0116871213462341,0.0463024351237243,0.0135200469729756,0.0176075348935964,0.0057451319206699,0.0052888666789088,0.0039868116379617,0.0096443892164666,0.0121856080377577,0.0130209840138577,0.0014116946702658,0.0142581025206735,0.0059033052581093,0.004952504208754,0.0046983273911858,0.0026415740202162,0.0086686502790683,0.0043206638844285,0.0047994246723683,0.0033222924219908,0.0087291985912027,0.0004287749646674,0.0051506566521496,0.0028686580400856,0.0033513288237589,128.5408163265306,230.19196428571428,0,2
7,82,3,1483,1935,122,330,77,287,99.38435603506406,307.6587997302765,1.110870495528255,1524,0.6265050459730297,43.45358724941183,1,0.7664082687338502,0.9001949408373365,49.27718892736648,48.87739763939975,18.788294228055936,7.225426957253106,6.4031242374328485,37.56594202199647,38.40749670117243,-53.40617045568417,143.88225099390857,0.9730971128608924,0.7894377768385572,0.0224808153890016,0.1442169391896646,0.0778797711704035,0.0084745470161853,0.0043425656164029,0.0577347381627794,0.0186833202695587,0.0156304592260019,0.0087595055826143,0.0057207703335004,0.0087757857693008,0.0009514670634468,0.0145726683172545,0.0174083424662239,0.0056654222698759,0.0050704021840963,0.0029088386943021,0.0064607216864497,0.0020157894757835,0.0122780721143437,0.0137546184712029,0.005509619498943,0.0064064109511228,0.0008415984183957,0.0024429484716669,0.0034265786501139,0.0078676149914432,0.0038404237374279,0.000719046888392,99.38435603506406,307.6587997302765,0,3
8,83,1,1953,2800,200,180,144,130,168.91551459293396,155.10599078341014,1.3034051917523484,2076,0.6207381888213016,49.86618925552436,1,0.6975,0.767221126881934,56.88572504770893,61.05735008989499,20.808652046684813,7.879580630796313,7.0,44.27414595449584,44.59942790424744,-44.31214464249063,178.8528137423857,0.9407514450867052,0.6670163172928576,0.0983690560697515,0.1705633584438471,0.0454002046568282,0.0128694123834528,0.017936338000401,0.0276585526697374,0.0219043680863532,0.0225686638568102,0.0347590068241754,0.0082223454372572,0.0089060664290353,0.0057089522465884,0.0038672882531954,0.0013140045823204,0.0125974507734378,0.0016199828874653,0.0128713960178861,0.0077879181780445,0.0031223153892141,0.0020940718644358,0.0120749660162317,0.0024895724019677,0.0086117556201429,0.0084041595378493,0.0099179808802972,0.0049879294754663,0.0074597685717492,0.0061174189425718,0.0040692692141758,168.91551459293396,155.10599078341014,0,1
9,83,2,2457,4092,158,434,96,368,128.0875050875051,400.05575905575904,1.6466523589453783,2807,0.751327386038847,55.93165080179821,1,0.6004398826979472,0.6072927260982178,72.08992277411124,65.86349520030045,19.72308292331602,7.127981391631264,6.4031242374328485,48.107212168872806,47.57427838088194,34.05610119070703,225.4802307403552,0.8753117206982544,0.7110358533104668,0.0738628195516448,0.0930351161641962,0.1121614021064522,0.022473027474447,0.0091332055896455,0.0136471635241675,0.0219840263243461,0.0158393760841298,0.006829211901085,0.0256837620234762,0.0239397545061377,0.0119224655054189,0.0089086249950392,0.0184101642292321,0.0093328256270756,0.0030778109117904,0.0117511068034895,0.0086577502272423,0.007119059127843,0.0043549329808614,0.0077056302195901,0.0077575986366401,0.0086093892638923,0.0015102591145732,0.0054985304864354,0.0045954102328831,0.0081777054942722,0.0124615699689211,0.0035025390570795,128.0875050875051,400.05575905575904,0,2
