ImageNumber,ObjectNumber,FileName_DNA,PathName_DNA,Children_FillObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,Late_progeria_IF_Test_0.1um_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,219.56989247311827,66.59139784946237,0,1
1,2,Late_progeria_IF_Test_0.1um_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,291.2309711286089,79.1233595800525,0,2
1,3,Late_progeria_IF_Test_0.1um_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,389.8156851438045,152.3897498738557,0,3
1,4,Late_progeria_IF_Test_0.1um_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,213.12710371116225,259.5790420023015,0,4
1,5,Late_progeria_IF_Test_0.1um_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,357.89510079699954,211.43917018284108,0,5
1,6,Late_progeria_IF_Test_0.1um_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,59.0,275.0,0,6
2,1,Late_progeria_IF_Test_1_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,263.0902944222518,225.02895398727622,0,1
2,2,Late_progeria_IF_Test_1_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,14.032786885245901,158.9016393442623,0,2
3,1,Late_progeria_IF_Test_2_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,234.80432327371102,304.46140309405615,0,1
4,1,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_1_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,305.5111111111111,68.52592592592593,0,1
