ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,19088,25875,381,279,256,72,319.0056580050293,176.32622590108969,1.2832294210799333,19397,0.8339935119802565,155.89610780870953,1,0.7377004830917875,0.7792838782938949,210.5138416549614,210.64662351910604,56.32051136131489,22.748737815550996,20.8806130178211,115.20744714680636,116.1561169052705,-13.568320492349837,554.8010819142764,0.984069701500232,0.5477237093190478,0.042142003845952195,0.18444869274471692,0.09289749540823698,0.027145940674588195,0.011595766219133868,0.0034239691927434755,0.03840456368135807,0.029682001181146375,0.004257459114948039,0.006193741567658969,0.005958166833108684,0.011912395359074162,0.01507625738920756,0.0032993771338991357,0.012658739609743869,0.013383666152661016,0.013314610634436473,0.005370998803893634,0.0038629255268182467,0.006139699939167724,0.007652512027314901,0.015267524372391489,0.003312229777271249,0.006368231958267757,0.007187831407813658,0.007504984576003138,0.007997839817648934,0.003562803202972511,0.002494432358043217,319.0056580050293,176.32622590108969,0,1
1,2,12386,18270,197,457,71,312,130.89811077022443,387.18528984337155,1.336963280689226,12833,0.7657605084785866,125.5800342454553,1,0.6779419813902573,0.7479636983631173,157.38353574599526,159.0125781188394,50.15974481593781,18.325241740742168,16.492422502470642,104.00628679223045,101.21741833257295,38.891077145151606,456.17366491630685,0.9651679264396478,0.62370357924025,0.03865974881343079,0.1870601765504586,0.08770626731463901,0.020462678336860496,0.0020793024755118624,0.016991846648333482,0.0173269863020462,0.030940080957406607,0.013592972075655454,0.006190561655498825,0.0014070999941817046,0.019978309165193043,0.023946516605327147,0.007937188614621036,0.01347185635354375,0.014632136609329752,0.005250160428560592,0.0059893543265686555,0.002105969830438296,0.0011289627077834092,0.002913378724272154,0.010622811685206898,0.005755894927757102,0.006775835312198022,0.006196057941198076,0.0029661899197089996,0.0033994248762810437,0.0032631535620109503,0.001973673649849008,130.89811077022443,387.18528984337155,0,2
2,1,14256,20770,190,469,56,314,123.16919191919192,392.641975308642,1.2163432717956921,14399,0.8040452678492134,134.726771466344,1,0.6863745787193067,0.82213633534857,174.85812860966578,174.7483905505284,52.32590180780452,20.360986037419707,18.439088914585774,103.94469683442249,103.96506260777355,37.67864059051805,466.80108191427644,0.9900687547746372,0.5944036070912164,0.0033161623364395274,0.19159524700734998,0.09620772673573101,0.003525529717929946,0.0034027838223447265,0.005544448031714277,0.02869183220811523,0.030766318438045625,0.0006958763735107951,0.0023927616602739824,0.003341941771853304,0.022010112206481146,0.026481691528513818,0.0018251385334113921,0.011768198935747138,0.0022483499662997526,0.0012320644453170542,0.0016846130613167966,0.0030853740573283358,0.010894498978615448,0.009526207455184907,0.017339664812785042,0.0070015784392338165,0.004777784976296692,0.0008731264814000153,0.0012945208167117915,0.00027776807227326844,0.0017818964741193172,0.0020615621456914275,123.16919191919192,392.641975308642,0,1
3,1,15001,19803,490,173,329,50,408.51089927338177,109.11559229384707,1.1482404838435338,15155,0.673701567190631,138.2022663004199,1,0.7575114881583599,0.8708977031123961,160.87301553818688,162.8066337714775,60.00833275470999,22.15413070728017,19.79898987322333,119.94158834776458,118.88572429777105,-78.30356204105131,465.2447327281724,0.9898383371824481,0.7204904524063498,0.016768646577847386,0.1759968547342155,0.07971320722880847,0.0046692050722548905,0.003613164618382847,0.05224982123614772,0.003786676213723998,0.021825189618526617,0.007482822020764167,0.005946602005808571,0.0021924330232400025,0.012639387001309496,0.02611718130421566,0.01111857834324369,0.007588988371933566,0.0020742155484602684,0.003385434663753861,0.0013171384938376572,0.0008959843992760975,0.01293267044562705,0.012394720520860585,0.005419227779057798,0.008701403499840403,0.003207177942670509,0.004934498970944943,0.003397666306126109,0.0026772219132137694,0.001825846753969911,0.0015392637788868393,408.51089927338177,109.11559229384707,0,1
3,2,16409,21168,437,406,325,217,381.01194466451335,313.48924370772136,1.2504732559738974,16615,0.823933119107216,144.54268466290256,1,0.7751795162509448,0.7996972308065693,192.3870713892598,188.2153022471871,52.172789842982326,21.40024257098852,19.6468827043885,104.73648308290412,109.02326238515539,6.607195472506301,507.7888886054567,0.9876015648510382,0.5896977053061345,0.022162570485177245,0.1811319284435841,0.10469490938328013,0.00847359072250477,0.009721143857036554,0.001201559033800081,0.032375593840234765,0.029402196504836397,0.0020251082403082467,0.005464372107760124,0.005982351968129764,0.01642850006971315,0.021427979176327234,0.006863883310465132,0.009915322786466015,0.003576293556624908,0.0065109704982937704,0.004971653102586024,0.003996785592453504,0.011281454170944595,0.01160271038576951,0.017690241531908603,0.009775016635936655,0.004198717851793184,0.002238772560572642,0.002134106375500531,0.0034343733104504437,0.0037871343207530987,0.0028258048077192755,381.01194466451335,313.48924370772136,0,2
4,1,8095,11180,436,221,350,91,392.6308832612724,158.4630018529957,1.2530164099841519,8303,0.781528388485194,101.52277633433368,1,0.7240608228980322,0.7980741449448758,128.85713289172529,132.4424403278647,39.01281840626232,15.271770599287624,13.892443989449804,81.88473856644251,80.39005830092715,12.177575590855676,357.01933598375615,0.9749488136818018,0.5874614841807735,0.030543988292379008,0.19810716204859552,0.08547039650658621,0.007387255470638706,0.01050183138743047,0.008698204535769317,0.02820780697945014,0.025077818023601955,0.010082243858348787,0.008827590368552683,0.002404662571049207,0.02365649377017482,0.02447267859664914,0.0021329811534545316,0.012638571557062012,0.005323232286476954,0.00522049351693182,0.008633345050774394,0.0018780382573905165,0.007717409137075324,0.009810708014299218,0.014980093261317495,0.003992683161772882,0.007488214153114664,0.003254621648220383,0.004788894830707675,0.006598647110272464,0.004485711536805081,0.001337210038926445,392.6308832612724,158.4630018529957,0,1
4,2,26479,44400,234,349,34,127,136.492541259111,225.80833868348503,2.436269642954707,31607,0.7163869525868392,183.61402426024645,1,0.5963738738738739,0.41046359662684967,244.6928584864208,254.62128740543278,48.093658625644196,17.717988108094602,16.76305461424021,175.18776931187816,170.72298667839496,46.8546856840246,900.3645737753169,0.8377574587907742,0.5200226725234818,0.0947517732611114,0.12847177611113952,0.06218705179057205,0.04378878920786175,0.019926152590513408,0.03564453100983062,0.02257424785788457,0.028619283796144375,0.010354413403299545,0.024805017716142932,0.006785218648897998,0.019748012316616898,0.03256704078552092,0.018609991459869635,0.01945126258729191,0.009112193399036548,0.006353355561195629,0.01000610846999378,0.0011229395512243482,0.013763650684355562,0.009557773287255116,0.003130904022489381,0.007137009446415764,0.012987902988452232,0.0063060045150412376,0.012408636869471591,0.010633535404250109,0.003238546883321652,0.0027807917802451726,136.492541259111,225.80833868348503,0,2
4,3,17288,28215,397,466,232,295,314.7270360944007,378.1987505784359,1.3408208978262022,17582,0.8671379973418131,148.3636250884343,1,0.6127237285132022,0.7458117647340103,210.61370619590093,207.21245136332902,53.03772242470448,20.849367155951555,19.235384061671343,106.77312395916867,104.89993915952668,42.46555731905627,539.7127701597078,0.9832783528608805,0.5126526131164613,0.029498223298188696,0.17875579450742227,0.09827710692814877,0.01841386680362365,0.015357317410988227,0.021011021272233036,0.043287159457792844,0.03468268764928264,0.001270439831011137,0.009908057617807555,0.00731552261350272,0.006297339221572171,0.011913848742086335,0.008192422329942717,0.014416455309982772,0.007610077956350205,0.008064711104783403,0.0026822029072970702,0.003001220497860925,0.015044137423417843,0.01148549871134521,0.011926968295485613,0.0033725012582961514,0.0068506488152851545,0.00599394569466893,0.006334991973303504,0.008351625260591786,0.003529624012581991,0.001018154781619574,314.7270360944007,378.1987505784359,0,3
5,1,10110,12648,503,144,367,51,436.553115727003,95.4897131552918,1.2062029634641274,10288,0.7468661475290713,113.456827900627,1,0.7993358633776091,0.8290478719502336,139.54179122047617,139.2838827718412,46.010868281309364,17.489661609220875,15.811388300841896,91.64292521834,92.79171941844425,80.13416130991378,391.4629867976521,0.9826982892690513,0.6635284431583759,0.04135566839859716,0.1781323694345294,0.09132102781548114,0.007042458949999638,0.02069477764055072,0.023822163990993375,0.011775162601861846,0.018081729775794798,0.014117884322231851,0.006811403640466936,0.008958144597187963,0.01856200556288746,0.027631209631568995,0.006865863357769894,0.008577041387364596,0.004300752736262852,0.010433832063805448,0.008092920481523705,0.006181023170908445,0.0033663917915434374,0.001352232128539294,0.008153999425432589,0.004595467724950943,0.007717784202926511,0.005194353568119039,0.005848264348787906,0.004609229711231219,0.00577664842633148,0.005234761665261153,436.553115727003,95.4897131552918,0,1
5,2,9578,12240,218,186,82,96,151.76905408227188,140.316663186469,1.1941759774517469,9716,0.7552384632321434,110.43137398164251,1,0.782516339869281,0.8373975183573035,136.71136600664647,136.6235704408284,44.553338819890925,17.109389715212885,15.524174696260024,89.0,89.60748165558934,87.00610307114495,379.1198410471445,0.9857966241251543,0.653195214849669,0.034592218273462025,0.18219821646118625,0.0929650347875741,0.009334652777222749,0.009082690086286795,0.023267658635269063,0.0152523666365502,0.02554987481174618,0.010569898094178428,0.010398155347454134,0.0074097638509068335,0.01990261989786623,0.027530640343526792,0.007704422384632915,0.00827744557002712,0.006497908906865971,0.0068183374865455,0.007323201576070049,0.003385715027663489,0.0017664223399635603,0.005473311525894563,0.010088338209555467,0.008920681870781532,0.0041697556280651865,0.003433162625154344,0.004924481917881555,0.004586817652436985,0.004223097813058652,0.0018056968320480228,151.76905408227188,140.316663186469,0,2
