Channel_DNA,Count_IdentifyPrimaryObjects,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05RescaleIntensity,ExecutionTime_06Resize,ExecutionTime_07IdentifyPrimaryObjects,ExecutionTime_08MeasureObjectSizeShape,FileName_DNA,Frame_DNA,Group_Index,Group_Length,Group_Number,Height_DNA,ImageNumber,ImageSet_ImageSet,MD5Digest_DNA,Metadata_FileLocation,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05RescaleIntensity,ModuleError_06Resize,ModuleError_07IdentifyPrimaryObjects,ModuleError_08MeasureObjectSizeShape,PathName_DNA,Scaling_DNA,Series_DNA,Threshold_FinalThreshold_IdentifyPrimaryObjects,Threshold_OrigThreshold_IdentifyPrimaryObjects,Threshold_SumOfEntropies_IdentifyPrimaryObjects,Threshold_WeightedVariance_IdentifyPrimaryObjects,URL_DNA,Width_DNA
-1,8.0,0.0,0.0,0.171875,0.0,0.375,0.203125,0.21875,0.484375,AG00989F_F10_C2_max_proj.tif,0,11,262,1,2048,11,b'eLspQBBAG00stK15LIFVj6FBvLNRfG5iRTxQPkuvJDMNXOHA3A0MDpB7MKsmEANRPYEDBMgAhyWQBoawHQDBQIzt',9cb69a4bfe8d9f21ee483e7500abf6f0,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F10_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.13357540279626848,0.13095628,-12.051496064764773,1.356224237617198,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F10_C2_max_proj.tif,2048
-1,8.0,0.0,0.0,0.140625,0.0,0.390625,0.203125,0.265625,0.484375,AG00989F_F11_C2_max_proj.tif,0,12,262,1,2048,12,b'eLspQBBAG00stK15LIFVj6FhvLNRfG5iRTxQPkuvJDMNXOHA3A0MDpB7MKsmEANRPYEDBMgAhyWQBoawHQDBmYzu',718b4771ea788f513ed3ee0261e41237,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F11_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.12371651262044907,0.1212907,-12.16424447057878,1.3111902406428726,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F11_C2_max_proj.tif,2048
-1,7.0,0.0,0.0,0.15625,0.0,0.40625,0.1875,0.234375,0.5,AG00989F_F12_C2_max_proj.tif,0,13,262,1,2048,13,b'eLspQBBAG00stK15LIFVj6FRvLNRfG5iRTxQPkuvJDMNXOHA3A0MDpB7MKsmEANRPYEDBMgAhyWQBoawHQDB8ozv',66fd3bab9e29002d01677d536d26c89e,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F12_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.10734501510858536,0.10524021,-12.102228435774247,1.2138538697838612,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F12_C2_max_proj.tif,2048
-1,4.0,0.0,0.0,0.1875,0.0,0.40625,0.1875,0.265625,0.609375,AG00989F_F13_C2_max_proj.tif,0,14,262,1,2048,14,b'eLspQBBAG00stK15LIFVj6FxvLNRfG5iRTxQPkuvJDMNXOHA3A0MDpB7MKsmEANRPYEDBMgAhyWQBoawHQDCS4zw',a56d6e131e49520deddaab37267d3919,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F13_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.18482919573783874,0.1812051,-12.272654220828842,1.9189493272372147,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F13_C2_max_proj.tif,2048
-1,4.0,0.0,0.0,0.15625,0.0,0.4375,0.1875,0.21875,0.5625,AG00989F_F14_C2_max_proj.tif,0,15,262,1,2048,15,b'eLspQBBAG00stK15LIFVj6FJvLNRfG5iRTxQPkuvJDMNXOHA3A0MDpB7MKsmEANRPYEDBMgAhyWQBoawHQDCpIzx',34fcdb0f51180ac9453918ba89ad7143,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F14_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.16922887444496154,0.16591066,-12.137052239464964,1.7809247323267527,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F14_C2_max_proj.tif,2048
-1,5.0,0.0,0.0,0.21875,0.0,0.4375,0.1875,0.234375,0.484375,AG00989F_F15_C2_max_proj.tif,0,16,262,1,2048,16,b'eLspQBBAG00stK15LIFVj6FpvLNRfG5iRTxQPkuvJDMNXOHA3A0MDpB7MKsmEANRPYEDBMgAhyWQBoawHQDC/Yzy',0f5740749b0874530b70fd1ff3f8cce2,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F15_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.2005538159608841,0.19662139,-12.033274554665734,1.9950088317473273,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F15_C2_max_proj.tif,2048
-1,9.0,0.0,0.0,0.125,0.0,0.453125,0.203125,0.21875,0.515625,AG00989F_F16_C2_max_proj.tif,0,17,262,1,2048,17,b'eLspQBBAG00stK15LIFVj6FZvLNRfG5iRTxQPkuvJDMNXOHA3A0MDpB7MKsmEANRPYEDBMgAhyWQBoawHQDDVozz',22253d52617c85a4ef25169d99a53b20,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F16_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.12482635706663132,0.12237878,-11.948944544210578,1.351256765660196,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F16_C2_max_proj.tif,2048
-1,9.0,0.0,0.0,0.15625,0.0,0.421875,0.1875,0.234375,0.5,AG00989F_F17_C2_max_proj.tif,0,18,262,1,2048,18,b'eLspQBBAG00stK15LIFVj6F5vLNRfG5iRTxQPkuvJDMNXOHA3A0MDpB7MKsmEANRPYEDBMgAhyWQBoawHQDDr4z0',eb35e55ba5244216ae9902ed0559d92f,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F17_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.15992040753364564,0.15678471,-12.133078075275595,1.3410842167039618,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F17_C2_max_proj.tif,2048
-1,9.0,0.0,0.0,0.15625,0.0,0.4375,0.203125,0.21875,0.515625,AG00989F_F18_C2_max_proj.tif,0,19,262,1,2048,19,b'eLspQBBAG00stK15LIFVj6FFvLNRfG5iRTxQPkuvJDMNXOHA3A0MDpB7MKsmEANRPYEDBMgAhyWQBoawHQDECIz1',b49a9d54c6a6ff9653f35b5d7db80092,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F18_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.10597193598747254,0.103894055,-12.099823584929482,1.3032120646498697,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F18_C2_max_proj.tif,2048
-1,6.0,0.0,0.0,0.140625,0.0,0.390625,0.21875,0.234375,0.5,AG00989F_F19_C2_max_proj.tif,0,20,262,1,2048,20,b'eLspQBBAG00stK15LIFVDzBTOhvF5yZWxAPls/RKMtPAFQ7M3cDgALkHs2oCMRDVEzhAgAxwWAJpYAjbAQDEYYz2',4fd741fcd86668b32e2f650535137559,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F19_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.06970127105712891,0.06833458,-11.858605797064644,0.7971582169338944,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F19_C2_max_proj.tif,2048
