ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_IdentifyPrimaryObjects
2,6,1,1,396,191,395,190,395.0,190.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,395.0,190.0,0,6,6
2,7,1,1,453,235,452,234,452.0,234.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,452.0,234.0,0,7,7
2,8,1,1,223,303,222,302,222.0,302.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,222.0,302.0,0,8,8
2,9,68927,115136,488,353,40,96,263.2000957534783,225.05759716801833,68927.0,2.7284841053187847e-10,896890740.2793679,-452028873.6001691,1.9017988961422816e-08,313494495.61985844,-712532422.2387022,7864955875761.561,269712969.33924323,-355420597.8509345,4183406480705.575,-16086184669171.52,1.6241328447719803,70698,0.9293832027591956,296.24412584886903,1,0.5986572401334075,0.6157131808638442,0.24555263564800123,0.03484360501303354,3.0659157166980254e-06,7.847598795109166e-07,1.122022261913903e-12,1.103724489503241e-07,4.720182272171807e-13,14895.712434467983,2029.4940828417955,13012.183038277713,-4548.210361975111,-4548.210361975111,3913.0234790320656,488.1919693639867,482.1617985697332,88.32326986700618,36.59355975204162,34.40930106817051,182.4998362845908,180.19962631889314,nan,nan,0.1887820888516505,-0.00036240379358747245,nan,0.06598590337567442,-0.0005712565456643426,0.024017519990875733,0.05677054679635073,-0.00028495032176691895,0.012775030193106619,-0.00018710708473765664,-3.346862236213371e-05,0.007638627782076448,-0.00011984905228995605,0.002635867723715422,67.50431213788134,1186.0702012600882,0.9749497864154573,68927.0,15384513.0,4330715515.0,1366536286977.0,8895553.0,2298982777.0,698143208843.0,230603005866079.0,1417751665.0,397004579445.0,125530947664159.0,4.249236128715214e+16,0.3774973421367884,0.006361323091682624,0.15741989059598183,0.08349990114553985,0.005722885454719977,0.003475298966524676,0.04264448413152525,0.06047684603852155,0.03470805194066285,0.003012304181232684,0.0035700111819197355,0.002168160442465369,0.015514625134531602,0.013235614799163109,0.02502278986643464,0.01783475895108511,0.0009981963915906926,0.0008814337597962507,0.0020491371808911453,0.0014697110641659265,0.0023748788112485835,0.0018074867190172612,0.00042066768184175504,0.00994204483674901,0.010380027484364411,0.0012770537837419487,0.0008494176546401268,0.0008722689496179401,0.0011150360000221475,0.0010103666705587658,263.2000957534783,225.05759716801833,0,9,9
3,1,1,1,347,253,346,252,346.0,252.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,346.0,252.0,0,1,1
3,2,38901,56648,380,401,88,207,234.6856379013393,304.1745713477803,38901.0,-1.6639205568935722e-09,199243668.6658955,212122074.99294585,-1.6574546179981553e-09,-28326729.166988038,1680649781.0554643,-262008699524.76132,83423643.48597723,-603445371.0973755,321748342744.10077,-5005390147365.513,1.519221052185571,41879,0.7915165041210337,222.55401935202735,1,0.6867144471119898,0.6582320581730928,0.1867901875407193,0.007259215036162487,0.00037277217857562293,2.1470593721391268e-05,-6.61518925199124e-10,-9.438512327523826e-07,-1.803319677321157e-09,5290.365122340312,1975.9599631812112,5121.813543762256,728.1748327032219,728.1748327032219,2144.5115417592674,290.9395847206856,292.3439754809392,76.32168761236873,28.97094062493136,26.68332812825267,182.00736762563048,177.80708481638007,nan,nan,0.13166277329020476,0.0007106961337597307,nan,-0.018718666170618285,0.005630867516452389,-0.004450752196345793,0.05512741425051455,-0.002021790010249394,0.005465551890972959,-0.0004310972524493613,-0.0011865873083171533,-0.0021706983173810012,0.00047953173598271607,-0.00038486206769658605,-76.9671971068558,861.77878733769,0.9288903746507796,38901.0,5706218.0,1036263896.0,210669521966.0,3780188.0,526172559.0,94068901003.0,19120802157207.0,450761792.0,60011560101.0,10436591043945.0,2087711271816933.0,0.5795090978839654,0.019700777550212708,0.1840451784554457,0.08947622749514024,0.02518246908068646,0.018472721456481173,0.011581478610013282,0.03265221647170819,0.025727749388117345,0.00845538834449277,0.018865412187532488,0.008771042615893685,0.014981932986730194,0.01548211739238294,0.007784511107626173,0.01318064593981104,0.011924400119516808,0.008190092728100958,0.0071738463884521795,0.0025116929073854917,0.0019331050384076285,0.0041867506962613935,0.020267002276006554,0.0020366390246955002,0.008037854186611163,0.008708950884847114,0.0037376514004018326,0.0054425677239840955,0.004566009163855907,0.000765259711343625,234.6856379013393,304.1745713477803,0,2,2
4,1,1,1,200,214,199,213,199.0,213.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,199.0,213.0,0,1,1
4,2,1,1,340,203,339,202,339.0,202.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,339.0,202.0,0,2,2
4,3,1,1,325,340,324,339,324.0,339.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,324.0,339.0,0,3,3
4,4,1,1,113,289,112,288,112.0,288.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,112.0,288.0,0,4,4
